Contract Number,Description,Start Date,End Date,Vendor Name,Total Amount,Amount Spent,Procurement Method,Trade Type,Category,Location,Contract Status
2330498,JOHNSON COMMUNITY CENTER - BATHROOM UPGRADES (MOVARIS# 161149 - ROMANO V.),4/3/2024,11/8/2024,D.D.S. MECHANICAL PLUMBING & HEATING CORP,"$1,157,000.00",$0.00,SEALED BID,Decar,GR-GENERAL RENOVATION TYPE A.1CM,JOHNSON CC I-C516,Active
2413656,"Special Repair Projects - Morrisania Houses Fire Job - MSA 2121005, SPECIA064290",4/1/2024,4/30/2025,BELFOR USA GROUP INC.,"$106,376.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MORRISANIA-0250,Active
2333979,EVP Legal Affairs & General Counsel - Online Legal Research Services - EVPLEG063236,4/1/2024,3/31/2026,RELX INC DBA LEXISNEXIS,"$295,344.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,VARIOUS PROPERTIES & DEPARTMENTS,Active
2404448,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060301)",4/1/2024,3/31/2026,SPARTAN QUALITY CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2413667,"Special Repair Projects - Soundview Houses Fire Job - MSA 2121005, SPECIA064289",4/1/2024,4/30/2025,BELFOR USA GROUP INC.,"$28,545.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,SOUNDVIEW CC -C537,Active
2404451,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060395)",4/1/2024,3/31/2026,RAZ INTERIORS LTD,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404433,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060302)",4/1/2024,3/31/2026,SPARTAN QUALITY CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404437,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060394)",4/1/2024,3/31/2026,RAZ INTERIORS LTD,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2321996,"Emergency Services - Flood Protection Deployment Services and Maintenance of Deployable and Fixed Components at Manhattan, Brooklyn, and Queens Locations - EMERGE059763",4/1/2024,3/31/2027,GARNER ENVIRONMENTAL SERVICES INC,"$55,934,579.95",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CITYWIDE DEVELOPMENTS,Active
2402302,Asbestos - Citywide Environmental Consulting Services - Asbestos (Manhattan) - ASBEST063420,3/29/2024,3/28/2027,ATHENICA ENVIRONMENTAL SERVICES INC,"$2,000,000.00",$0.00,SEALED BID,Service,AS-ASBESTOS ABATEMENT.1CM,ASBESTOS DEPARTMENT,Active
2412837,"Special Repair Projects - St. Mary's Park Fire Job - MSA 2121005, SPECIA064256",3/27/2024,4/30/2025,BELFOR USA GROUP INC.,"$14,178.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ST MARY'S PARK -0673,Active
